Segment_ID,K3_MC0,K3_MC1,K3_MC2
AA_1.0_12-Jan-1991_10:20,0.2122215,0.28832948,0.49944904
AA_1.0_12-Jan-1991_10:43,0.1367658,0.5407417,0.32249254
AA_1.0_12-Jan-1991_11:06,0.2122215,0.28832948,0.49944904
AA_1.0_12-Jan-1991_11:30,0.2122215,0.28832948,0.49944904
AA_1.0_12-Jan-1991_11:53,0.2122215,0.28832948,0.49944904
AA_1.0_12-Jan-1991_12:16,0.13676584,0.5407415,0.32249263
AA_1.0_12-Jan-1991_12:39,0.52271587,0.29769605,0.1795881
AA_1.0_12-Jan-1991_13:02,0.63400847,0.26774287,0.09824868
AA_1.0_12-Jan-1991_13:25,0.83575916,0.05637246,0.10786837
AA_1.0_12-Jan-1991_13:48,0.817041,0.06278708,0.12017201
AA_1.0_12-Jan-1991_14:11,0.68833244,0.19105035,0.120617196
AA_1.0_12-Jan-1991_14:35,0.8636538,0.04680884,0.089537434
AA_1.0_12-Jan-1991_14:57,0.7901708,0.12704037,0.08278882
AA_1.0_12-Jan-1991_15:20,0.21832402,0.62381375,0.15786225
AA_1.0_12-Jan-1991_15:43,0.5184418,0.2977971,0.18376105
AA_1.0_12-Jan-1991_16:06,0.15648742,0.70556134,0.13795127
AA_1.0_12-Jan-1991_16:29,0.6464085,0.21739897,0.13619255
AA_1.0_12-Jan-1991_16:57,0.5184909,0.29777,0.18373899
AA_1.0_12-Jan-1991_17:21,0.8357564,0.056372568,0.107871056
AA_1.0_12-Jan-1991_17:44,0.68833053,0.19105029,0.1206192
AA_1.0_12-Jan-1991_18:07,0.583415,0.14576627,0.27081868
AA_1.0_12-Jan-1991_18:30,0.41324192,0.3638409,0.22291717
AA_1.0_12-Jan-1991_18:54,0.28175274,0.5213613,0.19688594
AA_1.0_12-Jan-1991_19:17,0.2817602,0.52136093,0.19687887
AA_1.0_12-Jan-1991_19:41,0.13676603,0.54074115,0.32249284
AA_1.0_12-Jan-1991_20:06,0.12564297,0.82423335,0.050123613
AA_2.0_06-Mar-1991_03:01,0.2906121,0.5133876,0.19600025
AA_2.0_06-Mar-1991_03:31,0.2122215,0.28832948,0.49944904
AA_2.0_06-Mar-1991_04:01,0.13643849,0.23022632,0.63333523
AA_2.0_06-Mar-1991_04:31,0.10053723,0.18377957,0.71568316
AA_2.0_06-Mar-1991_05:02,0.2122215,0.28832948,0.49944904
AA_3.0_06-Mar-1991_06:47,0.4786172,0.18538478,0.33599806
AA_3.0_06-Mar-1991_07:15,0.2122215,0.28832948,0.49944904
AA_3.0_06-Mar-1991_07:45,0.2122215,0.28832948,0.49944904
AA_3.0_06-Mar-1991_08:13,0.2122215,0.28832948,0.49944904
AA_3.0_06-Mar-1991_08:40,0.2122215,0.28832948,0.49944904
AA_3.0_06-Mar-1991_09:09,0.7502573,0.08971979,0.16002291
AA_4.0_09-Mar-1991_03:16,0.21367173,0.28776914,0.49855912
AA_4.0_09-Mar-1991_03:41,0.2122215,0.28832948,0.49944904
AA_4.0_09-Mar-1991_04:08,0.6825119,0.22899884,0.08848925
AA_4.0_09-Mar-1991_04:34,0.2122215,0.28832948,0.49944904
AA_4.0_09-Mar-1991_05:01,0.2122215,0.28832948,0.49944904
AA_4.0_09-Mar-1991_05:28,0.2122215,0.28832948,0.49944904
AA_4.0_09-Mar-1991_05:54,0.3558139,0.39554313,0.24864292
AA_4.0_09-Mar-1991_06:22,0.13676578,0.5407418,0.32249242
AA_4.0_09-Mar-1991_06:49,0.47860554,0.18538478,0.33600968
AA_4.0_09-Mar-1991_07:16,0.4786159,0.18538478,0.33599928
AA_4.0_09-Mar-1991_07:43,0.478591,0.1853848,0.33602422
AA_4.0_09-Mar-1991_08:11,0.35582104,0.39554366,0.24863528
AA_4.0_09-Mar-1991_08:38,0.59002066,0.23735915,0.17262028
AA_4.0_09-Mar-1991_09:06,0.7732661,0.07909683,0.14763707
AA_4.0_09-Mar-1991_09:33,0.6762505,0.112572126,0.21117732
AA_4.0_09-Mar-1991_10:00,0.7218336,0.09534597,0.18282044
AA_4.0_09-Mar-1991_10:21,0.8080954,0.09961001,0.09229466
AA_5.0_10-Mar-1991_03:14,0.71730703,0.2117845,0.070908375
AA_5.0_10-Mar-1991_03:47,0.6314636,0.29676837,0.071768075
AA_5.0_10-Mar-1991_04:21,0.7422548,0.19089957,0.06684563
AA_5.0_10-Mar-1991_04:57,0.41265106,0.51334596,0.07400305
AA_5.0_10-Mar-1991_05:34,0.91958874,0.02937432,0.05103699
AA_5.0_10-Mar-1991_06:12,0.69624734,0.10814756,0.19560501
AA_5.0_10-Mar-1991_06:48,0.69626635,0.10814756,0.19558613
AA_5.0_10-Mar-1991_07:22,0.78567654,0.07634136,0.13798213
AA_5.0_10-Mar-1991_07:53,0.62101036,0.13728796,0.24170165
AA_5.0_10-Mar-1991_08:24,0.89475745,0.037944313,0.06729819
AA_5.0_10-Mar-1991_08:53,0.71624386,0.20391996,0.07983619
AA_5.0_10-Mar-1991_09:22,0.37848786,0.37500322,0.24650894
AA_5.0_10-Mar-1991_09:50,0.57251704,0.381385,0.046097957
AA_5.0_10-Mar-1991_10:18,0.912171,0.06903999,0.01878901
AA_5.0_10-Mar-1991_10:45,0.6578264,0.23405987,0.10811366
AA_5.0_10-Mar-1991_11:12,0.2311786,0.6614908,0.10733059
AA_5.0_10-Mar-1991_11:37,0.41792145,0.19841273,0.3836658
AA_5.0_10-Mar-1991_12:10,0.71157,0.17543814,0.112991884
AA_6.0_10-Mar-1991_19:07,0.46271896,0.4259429,0.11133808
AA_6.0_10-Mar-1991_19:34,0.5894565,0.39420965,0.016333848
AA_6.0_10-Mar-1991_20:05,0.70053905,0.21538123,0.0840797
AA_6.0_10-Mar-1991_20:41,0.4986424,0.47117993,0.03017764
AA_6.0_10-Mar-1991_21:18,0.64564735,0.061271917,0.29308063
AA_6.0_10-Mar-1991_21:55,0.875517,0.03920828,0.085274674
AA_6.0_10-Mar-1991_22:32,0.78871816,0.053796764,0.15748516
AA_6.0_10-Mar-1991_22:59,0.929643,0.025031041,0.04532602
AA_6.0_10-Mar-1991_23:24,0.49303356,0.31042302,0.19654343
AA_6.0_10-Mar-1991_23:49,0.66821593,0.20275256,0.12903154
AA_6.0_11-Mar-1991_00:13,0.6682056,0.20275655,0.12903783
AA_6.0_11-Mar-1991_00:37,0.64643025,0.21738718,0.13618253
AA_6.0_11-Mar-1991_01:01,0.77932477,0.1335049,0.08717036
AA_6.0_11-Mar-1991_01:25,0.86363006,0.046809983,0.089559965
AA_6.0_11-Mar-1991_01:51,0.74871653,0.15309462,0.09818884
AA_6.0_11-Mar-1991_02:15,0.8756026,0.04287671,0.081520714
AA_6.0_11-Mar-1991_02:41,0.9554041,0.0153579535,0.029237995
AA_6.0_11-Mar-1991_03:07,0.8325813,0.10038674,0.067032
AA_6.0_11-Mar-1991_03:32,0.7629764,0.0812915,0.15573205
AA_6.0_11-Mar-1991_03:58,0.80099535,0.069249846,0.12975487
AA_6.0_11-Mar-1991_04:24,0.7218842,0.09534254,0.18277322
AA_6.0_11-Mar-1991_04:50,0.762949,0.081292845,0.15575808
AA_6.0_11-Mar-1991_05:16,0.7934995,0.07084989,0.13565055
AA_6.0_11-Mar-1991_05:43,0.9604779,0.020366982,0.019155115
AA_6.0_11-Mar-1991_06:09,0.13676584,0.5407416,0.3224925
AA_6.0_11-Mar-1991_06:35,0.5737869,0.14578985,0.2804232
AA_6.0_11-Mar-1991_07:01,0.6229095,0.23083813,0.14625236
AA_6.0_11-Mar-1991_07:27,0.6762365,0.11257295,0.21119057
AA_6.0_11-Mar-1991_07:53,0.8666661,0.04616922,0.087164685
AA_6.0_11-Mar-1991_08:19,0.7281542,0.16573927,0.10610656
AA_6.0_11-Mar-1991_08:45,0.87405795,0.07427249,0.05166955
AA_6.0_11-Mar-1991_09:11,0.86666894,0.046169136,0.08716191
AA_6.0_11-Mar-1991_09:38,0.8546558,0.05037158,0.094972625
AA_6.0_11-Mar-1991_10:03,0.9356444,0.022515494,0.04184015
AA_6.0_11-Mar-1991_10:29,0.87632453,0.0725941,0.051081415
AA_6.0_11-Mar-1991_10:55,0.9875568,0.0042254822,0.008217714
AA_6.0_11-Mar-1991_11:21,0.9864132,0.004816455,0.008770343
AA_6.0_11-Mar-1991_11:47,0.9873203,0.0023233164,0.010356372
AA_6.0_11-Mar-1991_12:12,0.9929055,0.0017469797,0.005347496
AA_6.0_11-Mar-1991_12:38,0.9944598,0.0019696008,0.003570497
AA_6.0_11-Mar-1991_13:02,0.9856619,0.0036822741,0.01065586
AA_6.0_11-Mar-1991_13:27,0.98403823,0.005258543,0.01070316
AA_6.0_11-Mar-1991_13:52,0.8719669,0.10018931,0.027843725
AA_6.0_11-Mar-1991_14:18,0.7846787,0.21468587,0.0006353923
AA_7.0_11-Mar-1991_14:54,0.8902136,0.04358209,0.06620439
AA_7.0_11-Mar-1991_15:17,0.9206708,0.028025962,0.051303227
AA_7.0_11-Mar-1991_15:40,0.8997296,0.07195857,0.028311782
AA_7.0_11-Mar-1991_16:03,0.920008,0.04650863,0.03348337
AA_7.0_11-Mar-1991_16:26,0.92918056,0.011428302,0.059391085
AA_7.0_11-Mar-1991_16:48,0.91366744,0.019672422,0.066660166
AA_7.0_11-Mar-1991_17:10,0.9149424,0.022036843,0.06302085
