"longitude","latitude","front_name"
-179.961,-44.4768,"STF"
-178.465,-44.7996,"STF"
-177.47,-45.2393,"STF"
-176.223,-45.3607,"STF"
-174.589,-45.3339,"STF"
-173.013,-45.1605,"STF"
-171.903,-44.843,"STF"
-171.044,-44.6047,"STF"
-170.332,-44.3427,"STF"
-169.779,-44.0962,"STF"
-169.378,-43.8851,"STF"
-168.712,-43.5766,"STF"
-168.013,-43.3532,"STF"
-166.749,-42.9578,"STF"
-164.793,-42.1686,"STF"
-162.745,-41.3278,"STF"
-161.889,-40.9593,"STF"
-160.328,-40.3294,"STF"
-158.26,-39.6532,"STF"
-155.898,-39.2476,"STF"
-154.178,-38.8494,"STF"
-152.559,-38.5141,"STF"
-150.268,-37.9453,"STF"
-148.46,-37.7672,"STF"
-146.016,-37.3259,"STF"
-143.716,-37.0648,"STF"
-141.364,-36.8637,"STF"
-137.814,-36.4621,"STF"
-135.199,-36.3304,"STF"
-133.157,-36.1704,"STF"
-131.136,-35.9968,"STF"
-129.74,-35.9546,"STF"
-128.429,-35.828,"STF"
-127.5,-35.65,"STF"
-126.791,-35.35,"STF"
-125.7,-35.15,"STF"
-125,-35,"STF"
-124.889,-34.9589,"STF"
-123.451,-34.9589,"STF"
-122.603,-34.85,"STF"
-121.5,-34.7,"STF"
-120,-34,"STF"
-117.5,-33.5,"STF"
-116,-33.25,"STF"
-115,-33,"STF"
-113,-32.75,"STF"
-112,-32.35,"STF"
-110,-32,"STF"
-107,-31.65,"STF"
-105,-31,"STF"
-102.5,-30.65,"STF"
-100,-30.5,"STF"
-97,-30.45,"STF"
-95,-30.5,"STF"
-92,-30.75,"STF"
-90,-31,"STF"
-87,-30.69,"STF"
-85,-30.5,"STF"
-83,-30.4,"STF"
-51.242,-32.0025,"STF"
-51.198,-32.0077,"STF"
-51.198,-32.0077,"STF"
-51.198,-32.0077,"STF"
-51.198,-32.0077,"STF"
-51.14,-32.0875,"STF"
-51.173,-32.3141,"STF"
-51.387,-32.8939,"STF"
-51.623,-33.4447,"STF"
-51.75,-33.6821,"STF"
-51.948,-33.934,"STF"
-52.253,-34.3995,"STF"
-52.786,-35.1672,"STF"
-53.13,-35.5616,"STF"
-53.475,-35.8458,"STF"
-53.767,-36.1483,"STF"
-53.952,-36.4305,"STF"
-54.122,-36.6786,"STF"
-54.105,-36.8726,"STF"
-53.973,-36.9415,"STF"
-53.824,-37.0603,"STF"
-53.739,-37.288,"STF"
-53.695,-37.6282,"STF"
-53.847,-37.8195,"STF"
-54.175,-38.1137,"STF"
-54.532,-38.4847,"STF"
-54.699,-38.8021,"STF"
-54.829,-38.9708,"STF"
-54.885,-39.2107,"STF"
-54.879,-39.4489,"STF"
-54.744,-39.6013,"STF"
-54.495,-39.6173,"STF"
-54.191,-39.5342,"STF"
-53.988,-39.5176,"STF"
-53.686,-39.432,"STF"
-53.437,-39.3611,"STF"
-53.249,-39.3518,"STF"
-53.05,-39.3552,"STF"
-52.91,-39.4209,"STF"
-52.882,-39.4835,"STF"
-52.905,-39.6454,"STF"
-53.091,-39.9624,"STF"
-53.304,-40.3573,"STF"
-53.56,-40.7572,"STF"
-53.631,-41.0292,"STF"
-53.576,-41.4002,"STF"
-53.473,-41.6367,"STF"
-53.247,-41.8535,"STF"
-52.943,-41.9155,"STF"
-52.635,-41.9531,"STF"
-52.254,-41.9392,"STF"
-51.823,-41.8468,"STF"
-51.414,-41.7029,"STF"
-50.859,-41.6168,"STF"
-50.521,-41.6006,"STF"
-50.101,-41.6705,"STF"
-49.696,-41.7713,"STF"
-49.434,-41.7436,"STF"
-48.975,-41.6694,"STF"
-48.347,-41.5432,"STF"
-47.66,-41.4713,"STF"
-46.946,-41.2769,"STF"
-46.262,-41.0739,"STF"
-45.596,-40.7587,"STF"
-44.912,-40.5755,"STF"
-44.309,-40.3392,"STF"
-43.646,-40.1769,"STF"
-42.993,-40.2057,"STF"
-42.646,-40.1002,"STF"
-42.155,-40.161,"STF"
-41.479,-40.3243,"STF"
-40.957,-40.5489,"STF"
-40.498,-40.7388,"STF"
-39.932,-41.0683,"STF"
-39.132,-41.5811,"STF"
-38.493,-42.0195,"STF"
-37.642,-42.5676,"STF"
-37.101,-42.7251,"STF"
-36.432,-42.9782,"STF"
-35.498,-43.164,"STF"
-34.344,-43.3254,"STF"
-33.391,-43.4452,"STF"
-32.86,-43.5489,"STF"
-32.593,-43.5225,"STF"
-31.516,-43.5457,"STF"
-31.285,-43.5332,"STF"
-30.623,-43.5331,"STF"
-29.858,-43.5025,"STF"
-28.381,-43.4282,"STF"
-27.264,-43.3111,"STF"
-26.296,-43.1687,"STF"
-25.398,-43.1299,"STF"
-24.529,-43.0141,"STF"
-23.375,-42.837,"STF"
-21.794,-42.5652,"STF"
-20.87,-42.4101,"STF"
-20.024,-42.3227,"STF"
-19.614,-42.2798,"STF"
-18.278,-42.0476,"STF"
-16.659,-41.8164,"STF"
-15.752,-41.7796,"STF"
-15.287,-41.8102,"STF"
-15.109,-41.7857,"STF"
-14.851,-41.7458,"STF"
-14.417,-41.6784,"STF"
-13.596,-41.4239,"STF"
-12.515,-41.1964,"STF"
-11.539,-40.7988,"STF"
-10.73,-40.4258,"STF"
-10.306,-40.2978,"STF"
-9.532,-40.0057,"STF"
-8.361,-39.6109,"STF"
-7.328,-39.1785,"STF"
-6.327,-38.8596,"STF"
-6.117,-38.8482,"STF"
-5.699,-38.8397,"STF"
-5.208,-38.8013,"STF"
-4.993,-38.72,"STF"
-4.588,-38.6363,"STF"
-4.45,-38.6467,"STF"
-3.743,-38.6622,"STF"
-3.409,-38.5661,"STF"
-2.548,-38.576,"STF"
-2.15,-38.542,"STF"
-1.942,-38.4828,"STF"
-1.116,-38.4377,"STF"
-0.549,-38.4125,"STF"
0.4291,-38.4301,"STF"
1.0292,-38.3895,"STF"
1.9714,-38.3491,"STF"
2.7752,-38.3002,"STF"
3.5101,-38.2611,"STF"
4.4983,-38.1773,"STF"
5.5018,-38.0919,"STF"
6.8374,-38.0683,"STF"
7.3835,-38.1693,"STF"
8.4578,-38.4266,"STF"
9.414,-38.8355,"STF"
9.7972,-39.2099,"STF"
10.8875,-39.9621,"STF"
11.769,-40.6042,"STF"
12.5718,-41.0505,"STF"
13.4667,-41.5698,"STF"
14.2898,-41.9607,"STF"
15.1563,-42.3161,"STF"
16.3339,-42.685,"STF"
18.0326,-42.9597,"STF"
19.4619,-43.1228,"STF"
20.5495,-43.1433,"STF"
20.8419,-43.1694,"STF"
21.2184,-43.2009,"STF"
21.756,-43.2277,"STF"
22.3955,-43.2492,"STF"
23.2603,-43.1814,"STF"
24.3167,-43.0801,"STF"
25.0847,-42.9342,"STF"
25.9993,-42.6788,"STF"
27.1514,-42.2992,"STF"
28.271,-41.9431,"STF"
28.8028,-41.7218,"STF"
29.5172,-41.4948,"STF"
29.9539,-41.3262,"STF"
30.4619,-41.172,"STF"
30.7964,-41.2019,"STF"
31.7756,-41.1801,"STF"
32.8722,-41.2493,"STF"
34.0374,-41.4172,"STF"
35.7155,-41.5813,"STF"
36.976,-41.847,"STF"
38.7055,-41.7847,"STF"
40.1163,-41.6992,"STF"
41.3286,-41.7572,"STF"
43.0939,-41.9383,"STF"
45.2741,-42.2895,"STF"
47.534,-42.5639,"STF"
49.0639,-42.9485,"STF"
50.5967,-43.2404,"STF"
51.9957,-43.4776,"STF"
53.0959,-43.6887,"STF"
54.6797,-43.9306,"STF"
57.1897,-44.2909,"STF"
59.9472,-44.3432,"STF"
61.8317,-44.1527,"STF"
63.4094,-43.896,"STF"
64.9131,-43.7055,"STF"
66.6452,-43.4119,"STF"
68.7942,-43.083,"STF"
71.236,-42.6097,"STF"
73.0694,-42.2214,"STF"
74.8865,-41.9879,"STF"
77.0301,-41.8929,"STF"
79.0019,-41.7821,"STF"
80.8924,-41.7995,"STF"
82.7435,-41.7733,"STF"
84.5778,-41.6431,"STF"
86.4657,-41.5789,"STF"
88.8368,-41.4862,"STF"
90.654,-41.4607,"STF"
92.0668,-41.3484,"STF"
93.1297,-41.2227,"STF"
94.7472,-41.0722,"STF"
96.6678,-40.9302,"STF"
98.8536,-40.6574,"STF"
100.2585,-40.6066,"STF"
101.401,-40.5897,"STF"
103.3437,-40.5339,"STF"
105.606,-40.6416,"STF"
106.701,-40.9155,"STF"
107.242,-40.9021,"STF"
108.571,-40.9237,"STF"
110.297,-40.9949,"STF"
111.29,-41.0199,"STF"
111.761,-41.0799,"STF"
112.264,-41.1604,"STF"
113.087,-41.079,"STF"
114.149,-40.9965,"STF"
114.954,-41.0223,"STF"
115.873,-40.951,"STF"
117.906,-40.8377,"STF"
119.576,-40.8237,"STF"
121.317,-40.686,"STF"
