Segment_ID,Oithona similis,Copepoda,Amphipoda,Chaetognatha,Euphausiidae,Foraminifera,Fritillaria spp.,Oikopleura spp.,Ostracoda,Pteropods,Other
AA_1.0_12-Jan-1991_10:20,0,0,0,0,0,0,0,0,0,0,0
AA_1.0_12-Jan-1991_10:43,0,0,0,0,1,0,0,0,0,0,0
AA_1.0_12-Jan-1991_11:06,0,0,0,0,0,0,0,0,0,0,0
AA_1.0_12-Jan-1991_11:30,0,0,0,0,0,0,0,0,0,0,0
AA_1.0_12-Jan-1991_11:53,0,0,0,0,0,0,0,0,0,0,0
AA_1.0_12-Jan-1991_12:16,0,0,0,0,1,0,0,0,0,0,0
AA_1.0_12-Jan-1991_12:39,0,0,0,1,3,0,0,0,0,0,0
AA_1.0_12-Jan-1991_13:02,0,0,0,0,9,0,0,0,0,0,0
AA_1.0_12-Jan-1991_13:25,0,0,0,0,8,0,0,0,0,0,0
AA_1.0_12-Jan-1991_13:48,0,0,0,0,7,0,0,0,0,0,0
AA_1.0_12-Jan-1991_14:11,0,0,0,0,7,0,0,0,0,0,0
AA_1.0_12-Jan-1991_14:35,0,0,0,0,10,0,0,0,0,0,0
AA_1.0_12-Jan-1991_14:57,0,0,0,0,11,0,0,0,0,0,0
AA_1.0_12-Jan-1991_15:20,0,0,0,0,5,0,0,0,0,0,0
AA_1.0_12-Jan-1991_15:43,0,0,0,0,4,0,0,0,0,0,0
AA_1.0_12-Jan-1991_16:06,0,0,0,0,6,0,0,0,0,0,0
AA_1.0_12-Jan-1991_16:29,0,0,0,0,6,0,0,0,0,0,0
AA_1.0_12-Jan-1991_16:57,0,0,0,0,4,0,0,0,0,0,0
AA_1.0_12-Jan-1991_17:21,0,0,0,0,8,0,0,0,0,0,0
AA_1.0_12-Jan-1991_17:44,0,0,0,0,7,0,0,0,0,0,0
AA_1.0_12-Jan-1991_18:07,0,0,0,1,1,0,0,0,0,0,0
AA_1.0_12-Jan-1991_18:30,0,0,0,0,3,0,0,0,0,0,0
AA_1.0_12-Jan-1991_18:54,0,1,0,0,2,0,0,0,0,0,0
AA_1.0_12-Jan-1991_19:17,0,1,0,0,2,0,0,0,0,0,0
AA_1.0_12-Jan-1991_19:41,0,0,0,0,1,0,0,0,0,0,0
AA_1.0_12-Jan-1991_20:06,0,1,0,1,29,0,0,0,0,0,0
AA_2.0_06-Mar-1991_03:01,0,2,0,0,1,0,0,0,0,0,0
AA_2.0_06-Mar-1991_03:31,0,0,0,0,0,0,0,0,0,0,0
AA_2.0_06-Mar-1991_04:01,1,0,0,0,0,0,0,0,0,0,0
AA_2.0_06-Mar-1991_04:31,2,0,0,0,0,0,0,0,0,0,0
AA_2.0_06-Mar-1991_05:02,0,0,0,0,0,0,0,0,0,0,0
AA_3.0_06-Mar-1991_06:47,0,1,0,0,0,0,0,0,0,0,0
AA_3.0_06-Mar-1991_07:15,0,0,0,0,0,0,0,0,0,0,0
AA_3.0_06-Mar-1991_07:45,0,0,0,0,0,0,0,0,0,0,0
AA_3.0_06-Mar-1991_08:13,0,0,0,0,0,0,0,0,0,0,0
AA_3.0_06-Mar-1991_08:40,0,0,0,0,0,0,0,0,0,0,0
AA_3.0_06-Mar-1991_09:09,0,3,0,0,0,0,0,0,0,1,0
AA_4.0_09-Mar-1991_03:16,0,0,0,0,0,0,0,0,0,0,1
AA_4.0_09-Mar-1991_03:41,0,0,0,0,0,0,0,0,0,0,0
AA_4.0_09-Mar-1991_04:08,0,6,0,0,3,0,0,0,0,0,0
AA_4.0_09-Mar-1991_04:34,0,0,0,0,0,0,0,0,0,0,0
AA_4.0_09-Mar-1991_05:01,0,0,0,0,0,0,0,0,0,0,0
AA_4.0_09-Mar-1991_05:28,0,0,0,0,0,0,0,0,0,0,0
AA_4.0_09-Mar-1991_05:54,0,1,0,0,1,0,0,0,0,0,0
AA_4.0_09-Mar-1991_06:22,0,0,0,0,1,0,0,0,0,0,0
AA_4.0_09-Mar-1991_06:49,0,1,0,0,0,0,0,0,0,0,0
AA_4.0_09-Mar-1991_07:16,0,1,0,0,0,0,0,0,0,0,0
AA_4.0_09-Mar-1991_07:43,0,1,0,0,0,0,0,0,0,0,0
AA_4.0_09-Mar-1991_08:11,0,1,0,0,1,0,0,0,0,0,0
AA_4.0_09-Mar-1991_08:38,0,2,0,0,2,0,0,0,0,0,0
AA_4.0_09-Mar-1991_09:06,0,2,0,0,3,0,0,0,0,0,0
AA_4.0_09-Mar-1991_09:33,0,1,0,0,2,0,0,0,0,0,0
AA_4.0_09-Mar-1991_10:00,0,0,0,0,4,0,0,0,0,0,0
AA_4.0_09-Mar-1991_10:21,2,5,0,0,16,0,0,0,0,1,0
AA_5.0_10-Mar-1991_03:14,0,5,0,0,0,0,0,0,0,6,0
AA_5.0_10-Mar-1991_03:47,0,8,0,0,0,0,0,0,0,3,0
AA_5.0_10-Mar-1991_04:21,0,7,0,1,0,0,0,0,0,4,0
AA_5.0_10-Mar-1991_04:57,5,8,0,0,0,0,0,0,0,6,0
AA_5.0_10-Mar-1991_05:34,0,4,0,0,0,0,0,0,0,12,0
AA_5.0_10-Mar-1991_06:12,0,3,0,0,0,0,0,0,0,0,0
AA_5.0_10-Mar-1991_06:48,0,3,0,0,0,0,0,0,0,0,0
AA_5.0_10-Mar-1991_07:22,0,5,0,0,0,0,0,0,0,0,0
AA_5.0_10-Mar-1991_07:53,0,1,0,0,0,0,0,0,0,1,0
AA_5.0_10-Mar-1991_08:24,0,6,0,0,1,0,0,0,0,5,0
AA_5.0_10-Mar-1991_08:53,0,8,0,0,2,0,0,0,0,0,0
AA_5.0_10-Mar-1991_09:22,0,2,0,0,0,0,0,0,0,0,0
AA_5.0_10-Mar-1991_09:50,0,12,0,0,0,0,0,0,0,6,0
AA_5.0_10-Mar-1991_10:18,0,18,0,0,3,0,0,0,0,26,0
AA_5.0_10-Mar-1991_10:45,0,6,0,0,1,0,0,0,0,0,0
AA_5.0_10-Mar-1991_11:12,0,4,0,0,4,0,0,0,0,0,0
AA_5.0_10-Mar-1991_11:37,0,0,0,0,1,0,0,0,0,0,0
AA_5.0_10-Mar-1991_12:10,0,3,0,0,4,0,0,0,0,0,0
AA_6.0_10-Mar-1991_19:07,0,2,0,0,5,0,0,0,0,0,0
AA_6.0_10-Mar-1991_19:34,0,53,0,0,2,0,0,0,0,0,0
AA_6.0_10-Mar-1991_20:05,3,16,0,0,2,0,0,0,0,0,0
AA_6.0_10-Mar-1991_20:41,3,29,0,0,3,0,0,0,0,0,0
AA_6.0_10-Mar-1991_21:18,1,4,0,0,3,0,0,0,0,0,0
AA_6.0_10-Mar-1991_21:55,0,4,0,0,8,0,0,0,0,0,0
AA_6.0_10-Mar-1991_22:32,1,9,0,0,0,0,0,0,0,0,0
AA_6.0_10-Mar-1991_22:59,0,18,0,0,1,0,0,0,0,0,0
AA_6.0_10-Mar-1991_23:24,0,2,0,0,1,0,0,0,0,0,0
AA_6.0_10-Mar-1991_23:49,0,2,0,0,4,0,0,0,0,0,0
AA_6.0_11-Mar-1991_00:13,0,2,0,0,4,0,0,0,0,0,0
AA_6.0_11-Mar-1991_00:37,0,0,0,0,6,0,0,0,0,0,0
AA_6.0_11-Mar-1991_01:01,0,2,0,0,8,0,0,0,0,0,0
AA_6.0_11-Mar-1991_01:25,0,0,0,0,10,0,0,0,0,0,0
AA_6.0_11-Mar-1991_01:51,0,0,0,0,9,0,0,0,0,0,0
AA_6.0_11-Mar-1991_02:15,0,1,0,0,10,0,0,0,0,0,0
AA_6.0_11-Mar-1991_02:41,0,2,0,0,32,0,0,0,0,0,0
AA_6.0_11-Mar-1991_03:07,0,0,0,0,14,0,0,0,0,0,0
AA_6.0_11-Mar-1991_03:32,0,0,0,0,5,0,0,0,0,0,0
AA_6.0_11-Mar-1991_03:58,0,2,0,0,4,0,0,0,0,0,0
AA_6.0_11-Mar-1991_04:24,0,0,0,0,4,0,0,0,0,0,0
AA_6.0_11-Mar-1991_04:50,0,0,0,0,5,0,0,0,0,0,0
AA_6.0_11-Mar-1991_05:16,0,0,0,0,6,0,0,0,0,0,0
AA_6.0_11-Mar-1991_05:43,0,0,0,0,51,0,0,0,0,2,0
