h3_cell,year,center_lat,center_lon,n_segments,n_tows,n_ships,ships,season,months,mean_segment_length,total_abundance_sum,mean_total_abundance,mean_total_plankton_corrected,mean_water_temperature,mean_salinity,mean_fluorescence,mean_phytoplankton_colour_index,mean_par,mean_hadisst_sst,mean_hadisst_ice,dist_to_antarctica_km,ocean_zone,ocean_zone_num
83bb20fffffffff,2010,-44.3863,177.5273,11,1,1,TA,2009-10,February,5.0,716,65.09,13.0182,14.48,34.29,,0.27,,15.73,0.0,2662.6,North of STF,1
83bb21fffffffff,2006,-43.6959,176.5441,14,1,1,TA,2005-06,January,5.0,696,49.71,9.9429,17.1,34.68,3.01,,,15.9,0.0,2722.0,North of STF,1
83bb21fffffffff,2010,-43.5708,176.7245,13,1,1,TA,2009-10,February,5.0,8402,646.31,129.2615,16.28,34.79,,1.0,,16.41,0.0,2722.0,North of STF,1
83bb24fffffffff,2006,-45.2918,177.8069,14,1,1,TA,2005-06,January,5.0,147,10.5,2.1,15.99,34.41,3.05,,,14.19,0.0,2569.1,STF-SAF,2
83bb24fffffffff,2010,-45.1291,178.1771,10,1,1,TA,2009-10,February,5.0,73,7.3,1.46,15.02,34.23,,0.0,,15.32,0.0,2569.1,STF-SAF,2
83bb25fffffffff,2006,-44.4867,177.1908,8,1,1,TA,2005-06,January,5.0,120,15.0,3.0,16.03,34.38,3.97,,,15.13,0.0,2646.1,STF-SAF,2
83bb28fffffffff,2006,-42.2532,175.527,7,1,1,TA,2005-06,January,5.0,455,65.0,13.0,17.69,34.82,2.56,,,16.7,0.0,2860.0,North of STF,1
83bb28fffffffff,2008,-41.9301,174.7822,2,1,1,TA,2007-08,January,5.0,294,147.0,29.4,16.0,34.68,5.13,0.0,0.51,16.76,0.0,2860.0,North of STF,1
83bb28fffffffff,2010,-42.0873,175.3565,12,1,1,TA,2009-10,February,5.0,565,47.08,9.4167,17.58,35.11,,0.42,,16.87,0.0,2860.0,North of STF,1
83bb29fffffffff,2008,-41.6809,174.7849,4,1,1,TA,2007-08,January,5.0,497,124.25,24.85,15.73,34.93,3.38,0.0,329.26,16.76,0.0,2912.8,North of STF,1
83bb29fffffffff,2010,-41.5535,174.9209,3,1,1,TA,2009-10,February,5.0,2363,787.67,157.5333,13.37,34.6,,1.0,,17.24,0.0,2912.8,North of STF,1
83bb2cfffffffff,2006,-42.8488,175.9311,9,1,1,TA,2005-06,January,5.0,1272,141.33,28.2667,18.37,35.17,2.37,,,16.6,0.0,2800.5,North of STF,1
83bb2cfffffffff,2008,-43.0899,174.7884,6,1,1,TA,2007-08,January,5.0,316,52.67,10.5333,18.95,35.58,1.01,0.0,0.47,15.95,0.0,2800.5,North of STF,1
83bb2cfffffffff,2010,-42.814,176.0152,9,1,1,TA,2009-10,February,5.0,2224,247.11,49.4222,17.03,34.96,,0.22,,16.82,0.0,2800.5,North of STF,1
83bb2dfffffffff,2008,-42.4278,174.7774,10,1,1,TA,2007-08,January,5.0,1092,109.2,21.84,18.0,35.14,1.44,0.0,0.48,16.2,0.0,2830.7,North of STF,1
83bf4cfffffffff,2012,-43.1084,148.1929,5,1,1,AA,2012-13,September,5.0,759,151.8,30.36,11.91,35.08,0.96,0.0,2.1,12.25,0.0,2659.6,North of STF,1
83bf61fffffffff,2003,-45.1459,150.8688,15,1,1,SH,2002-03,March,5.0,549,36.6,7.32,14.76,35.05,3.6,,,14.54,0.0,2465.7,North of STF,1
83bf63fffffffff,2003,-44.5384,151.0489,2,1,1,SH,2002-03,March,5.115,16,8.0,1.5604,15.4,35.19,3.89,,,14.98,0.0,2534.4,North of STF,1
83bf69fffffffff,2008,-44.9025,147.146,22,2,2,AA;UM,2007-08,February;March,5.045,617,28.05,5.5994,14.44,35.25,1.61,0.0,7.84,14.64,0.0,2454.9,North of STF,1
