Segment_ID,component_1,component_2
AA_593.0_19-Mar-2011_21:31,1.0,0.0
AA_593.0_19-Mar-2011_21:54,1.0,0.0
AA_593.0_19-Mar-2011_22:18,1.0,0.0
AA_593.0_19-Mar-2011_22:42,1.0,0.0
AA_593.0_19-Mar-2011_23:07,1.0,0.0
AA_593.0_19-Mar-2011_23:31,1.0,0.0
AA_593.0_19-Mar-2011_23:54,1.0,0.0
AA_593.0_20-Mar-2011_00:17,1.0,0.0
AA_593.0_20-Mar-2011_00:40,1.0,0.0
AA_593.0_20-Mar-2011_01:03,1.0,0.0
AA_593.0_20-Mar-2011_01:27,1.0,0.0
AA_593.0_20-Mar-2011_01:50,1.0,0.0
AA_593.0_20-Mar-2011_02:12,1.0,0.0
AA_593.0_20-Mar-2011_02:35,1.0,0.0
AA_593.0_20-Mar-2011_02:58,1.0,0.0
AA_593.0_20-Mar-2011_03:21,1.0,0.0
AA_593.0_20-Mar-2011_03:44,1.0,0.0
AA_593.0_20-Mar-2011_04:07,1.0,0.0
AA_593.0_20-Mar-2011_04:30,1.0,0.0
AA_593.0_20-Mar-2011_04:53,1.0,0.0
AA_593.0_20-Mar-2011_05:15,1.0,0.0
AA_593.0_20-Mar-2011_05:38,1.0,0.0
AA_593.0_20-Mar-2011_06:01,1.0,0.0
AA_593.0_20-Mar-2011_06:24,1.0,0.0
AA_593.0_20-Mar-2011_06:47,0.9999858066762325,1.4193323767500326e-05
AA_593.0_20-Mar-2011_07:10,1.0,0.0
AA_593.0_20-Mar-2011_07:34,1.0,0.0
AA_593.0_20-Mar-2011_07:57,1.0,0.0
AA_593.0_20-Mar-2011_08:21,1.0,0.0
AA_593.0_20-Mar-2011_08:45,1.0,0.0
AA_593.0_20-Mar-2011_09:08,1.0,0.0
AA_593.0_20-Mar-2011_09:32,1.0,0.0
AA_593.0_20-Mar-2011_09:54,0.9820743984214527,0.017925601578547227
AA_593.0_20-Mar-2011_10:17,1.0,0.0
AA_593.0_20-Mar-2011_10:40,1.0,0.0
AA_593.0_20-Mar-2011_11:03,1.0,0.0
AA_593.0_20-Mar-2011_11:25,0.988158728143107,0.011841271856893043
AA_593.0_20-Mar-2011_11:48,0.9877048119694077,0.012295188030592341
AA_593.0_20-Mar-2011_12:11,0.9991412125597516,0.0008587874402484502
AA_593.0_20-Mar-2011_12:33,0.99715618383166,0.002843816168339965
AA_593.0_20-Mar-2011_12:56,0.9861520063669783,0.013847993633021638
AA_593.0_20-Mar-2011_13:19,0.8237385963855481,0.1762614036144519
AA_593.0_20-Mar-2011_13:42,1.0,0.0
AA_593.0_20-Mar-2011_14:05,0.754735952424665,0.24526404757533507
AA_593.0_20-Mar-2011_14:28,0.992562194949904,0.007437805050095879
AA_593.0_20-Mar-2011_14:50,0.993642905890079,0.006357094109921037
AA_593.0_20-Mar-2011_15:13,0.9902564882779977,0.009743511722002312
AA_593.0_20-Mar-2011_15:36,1.0,0.0
AA_593.0_20-Mar-2011_15:59,0.9153662045335051,0.08463379546649491
AA_593.0_20-Mar-2011_16:22,0.9902311640473663,0.009768835952633701
AA_593.0_20-Mar-2011_16:45,0.8914932936207064,0.1085067063792936
AA_593.0_20-Mar-2011_17:08,0.8633350978624041,0.13666490213759594
AA_593.0_20-Mar-2011_17:31,0.8812441931653552,0.11875580683464479
AA_593.0_20-Mar-2011_17:54,0.8592713538010701,0.14072864619892997
AA_593.0_20-Mar-2011_18:18,0.9005360163886105,0.09946398361138953
AA_593.0_20-Mar-2011_18:41,1.0,0.0
AA_593.0_20-Mar-2011_19:05,1.0,0.0
AA_593.0_20-Mar-2011_19:29,1.0,0.0
AA_593.0_20-Mar-2011_19:53,1.0,0.0
AA_593.0_20-Mar-2011_20:17,0.8777085105671009,0.1222914894328992
AA_593.0_20-Mar-2011_20:41,0.8153615505661617,0.18463844943383842
AA_593.0_20-Mar-2011_21:05,1.0,0.0
AA_593.0_20-Mar-2011_21:28,1.0,0.0
AA_593.0_20-Mar-2011_21:52,1.0,0.0
AA_593.0_20-Mar-2011_22:15,1.0,0.0
AA_593.0_20-Mar-2011_22:39,1.0,0.0
AA_593.0_20-Mar-2011_23:02,1.0,0.0
AA_593.0_20-Mar-2011_23:26,1.0,0.0
AA_593.0_20-Mar-2011_23:49,1.0,0.0
AA_593.0_21-Mar-2011_00:13,1.0,0.0
AA_593.0_21-Mar-2011_00:37,1.0,0.0
AA_593.0_21-Mar-2011_01:01,1.0,0.0
AA_593.0_21-Mar-2011_01:25,1.0,0.0
AA_593.0_21-Mar-2011_01:50,1.0,0.0
AA_593.0_21-Mar-2011_02:14,1.0,0.0
AA_593.0_21-Mar-2011_02:38,1.0,0.0
AA_593.0_21-Mar-2011_03:02,1.0,0.0
AA_593.0_21-Mar-2011_03:27,1.0,0.0
AA_593.0_21-Mar-2011_03:51,1.0,0.0
AA_593.0_21-Mar-2011_04:16,1.0,0.0
AA_593.0_21-Mar-2011_04:41,1.0,0.0
AA_593.0_21-Mar-2011_05:06,1.0,0.0
AA_593.0_21-Mar-2011_05:31,1.0,0.0
AA_593.0_21-Mar-2011_05:56,0.8821336712008249,0.11786632879917512
AA_593.0_21-Mar-2011_06:22,1.0,0.0
AA_593.0_21-Mar-2011_06:47,0.6901578445631544,0.3098421554368455
AA_593.0_21-Mar-2011_07:13,0.6915428890036848,0.30845711099631534
AA_593.0_21-Mar-2011_07:38,0.6398416471410614,0.36015835285893866
AA_593.0_21-Mar-2011_08:03,0.6572950738219656,0.34270492617803433
AA_593.0_21-Mar-2011_08:29,0.7890675096658617,0.21093249033413827
AA_593.0_21-Mar-2011_08:54,0.7630945344664077,0.2369054655335923
AA_593.0_21-Mar-2011_09:19,0.7963055483734197,0.20369445162658034
AA_593.0_21-Mar-2011_09:57,0.375161551767376,0.624838448232624
AA_594.0_21-Mar-2011_10:30,0.9963707393792188,0.003629260620781195
AA_594.0_21-Mar-2011_10:55,0.9881418435779338,0.01185815642206624
AA_594.0_21-Mar-2011_11:20,0.901968354710222,0.09803164528977798
AA_594.0_21-Mar-2011_11:45,0.9953304508403564,0.004669549159643501
AA_594.0_21-Mar-2011_12:10,1.0,0.0
AA_594.0_21-Mar-2011_12:35,0.9869653107691753,0.013034689230824728
AA_594.0_21-Mar-2011_13:00,0.8913251807121619,0.10867481928783802
AA_594.0_21-Mar-2011_13:26,0.9428208968628458,0.05717910313715426
AA_594.0_21-Mar-2011_13:52,0.8479153714154305,0.15208462858456948
AA_594.0_21-Mar-2011_14:17,0.9624559788477483,0.037544021152251646
AA_594.0_21-Mar-2011_14:42,0.9820996830515829,0.017900316948416997
AA_594.0_21-Mar-2011_15:07,0.9882080340093946,0.011791965990605403
AA_594.0_21-Mar-2011_15:32,1.0,0.0
AA_594.0_21-Mar-2011_15:57,0.9594696224457075,0.040530377554292465
AA_594.0_21-Mar-2011_16:23,0.7498063642892325,0.2501936357107675
AA_594.0_21-Mar-2011_16:48,0.9105379772731732,0.08946202272682673
AA_594.0_21-Mar-2011_17:13,0.848712707963574,0.15128729203642607
AA_594.0_21-Mar-2011_17:38,0.986125454003722,0.013874545996277986
AA_594.0_21-Mar-2011_18:03,1.0,0.0
AA_594.0_21-Mar-2011_18:27,0.9642941195089426,0.03570588049105746
AA_594.0_21-Mar-2011_18:51,1.0,0.0
AA_594.0_21-Mar-2011_19:15,0.9569941929609069,0.043005807039093
AA_594.0_21-Mar-2011_19:40,0.9563431261890768,0.04365687381092328
AA_594.0_21-Mar-2011_20:03,1.0,0.0
AA_594.0_21-Mar-2011_20:27,0.935899104347715,0.06410089565228513
AA_594.0_21-Mar-2011_20:50,0.7704595129534395,0.22954048704656055
AA_594.0_21-Mar-2011_21:14,0.6638504379364297,0.3361495620635703
AA_594.0_21-Mar-2011_21:37,0.25986184587420486,0.7401381541257952
AA_594.0_21-Mar-2011_22:00,0.15303372582222272,0.8469662741777773
AA_594.0_21-Mar-2011_22:23,0.6692537762692687,0.3307462237307312
AA_594.0_21-Mar-2011_22:46,0.5605680884511046,0.4394319115488954
AA_594.0_21-Mar-2011_23:09,0.7323041001775906,0.2676958998224094
AA_594.0_21-Mar-2011_23:32,0.8859216792793487,0.11407832072065123
AA_594.0_21-Mar-2011_23:56,0.8230645996207261,0.17693540037927383
AA_594.0_22-Mar-2011_00:19,0.7291601112827742,0.2708398887172258
AA_594.0_22-Mar-2011_00:43,0.8396463400431846,0.16035365995681544
AA_594.0_22-Mar-2011_01:07,0.9785346619488449,0.021465338051155032
AA_594.0_22-Mar-2011_01:31,1.0,0.0
AA_594.0_22-Mar-2011_01:55,1.0,0.0
AA_594.0_22-Mar-2011_02:20,0.8871455211498112,0.11285447885018887
AA_594.0_22-Mar-2011_02:45,1.0,0.0
AA_594.0_22-Mar-2011_03:10,1.0,0.0
AA_594.0_22-Mar-2011_03:35,1.0,0.0
AA_594.0_22-Mar-2011_04:01,1.0,0.0
AA_594.0_22-Mar-2011_04:26,1.0,0.0
AA_594.0_22-Mar-2011_04:52,0.9514955990481445,0.04850440095185546
AA_594.0_22-Mar-2011_05:18,0.9597797715200589,0.040220228479940966
AA_594.0_22-Mar-2011_05:44,1.0,0.0
AA_594.0_22-Mar-2011_06:10,0.6115941239636333,0.3884058760363666
AA_594.0_22-Mar-2011_06:36,0.9656644095954271,0.034335590404572944
AA_594.0_22-Mar-2011_07:02,0.6285124700221022,0.37148752997789786
AA_594.0_22-Mar-2011_07:28,0.8158492773992448,0.18415072260075518
AA_594.0_22-Mar-2011_07:54,0.9058493964585483,0.0941506035414517
AA_594.0_22-Mar-2011_08:20,0.8935630405379756,0.10643695946202443
AA_594.0_22-Mar-2011_08:46,0.5369064666373609,0.4630935333626392
AA_594.0_22-Mar-2011_09:12,0.962151716073577,0.03784828392642301
AA_594.0_22-Mar-2011_09:38,0.9032263313990319,0.09677366860096809
AA_594.0_22-Mar-2011_10:04,0.9338674757058648,0.06613252429413514
AA_594.0_22-Mar-2011_10:30,0.9434055409800951,0.056594459019904855
AA_594.0_22-Mar-2011_10:56,0.7420955398024501,0.25790446019754987
AA_594.0_22-Mar-2011_11:22,0.8826024188263637,0.11739758117363634
AA_594.0_22-Mar-2011_11:49,0.9294362427238174,0.07056375727618251
AA_594.0_22-Mar-2011_12:15,0.8987306028512619,0.10126939714873812
AA_594.0_22-Mar-2011_12:42,0.8447735754161919,0.1552264245838082
AA_594.0_22-Mar-2011_13:09,0.9998316195793613,0.00016838042063872815
AA_594.0_22-Mar-2011_13:35,0.9768784866663793,0.02312151333362074
AA_594.0_22-Mar-2011_14:05,0.9512997927789382,0.04870020722106175
AA_594.0_22-Mar-2011_14:31,0.9668812973841706,0.03311870261582942
AA_594.0_22-Mar-2011_14:57,0.9590835364372072,0.04091646356279282
AA_594.0_22-Mar-2011_15:23,0.9176537513851043,0.0823462486148957
AA_594.0_22-Mar-2011_15:50,1.0,0.0
AA_594.0_22-Mar-2011_16:16,0.9612699891605279,0.038730010839472084
AA_594.0_22-Mar-2011_16:43,0.8724127768073108,0.12758722319268923
AA_594.0_22-Mar-2011_17:09,0.9110584583531455,0.08894154164685443
AA_594.0_22-Mar-2011_17:34,0.8318192979365999,0.16818070206340002
AA_594.0_22-Mar-2011_18:00,0.8845383823264373,0.11546161767356262
AA_594.0_22-Mar-2011_18:25,0.8948062693907243,0.10519373060927573
AA_594.0_22-Mar-2011_18:50,0.9567275276783208,0.04327247232167908
AA_594.0_22-Mar-2011_19:16,0.9928993031381415,0.007100696861858503
AA_594.0_22-Mar-2011_19:40,0.8660297079505265,0.13397029204947347
AA_594.0_22-Mar-2011_20:06,0.9953004927396089,0.004699507260391075
AA_594.0_22-Mar-2011_20:31,0.951333872973215,0.048666127026784946
AA_594.0_22-Mar-2011_20:56,1.0,0.0
AA_594.0_22-Mar-2011_21:21,1.0,0.0
AA_594.0_22-Mar-2011_21:45,1.0,0.0
AA_594.0_22-Mar-2011_22:08,1.0,0.0
AA_594.0_22-Mar-2011_22:31,1.0,0.0
AA_594.0_22-Mar-2011_22:54,1.0,0.0
AA_594.0_22-Mar-2011_23:07,1.0,0.0
AA_595.0_22-Mar-2011_23:38,0.895727351539358,0.10427264846064202
AA_595.0_23-Mar-2011_00:00,0.8879678859611205,0.1120321140388796
AA_595.0_23-Mar-2011_00:23,1.0,0.0
AA_595.0_23-Mar-2011_00:45,0.9203419636893725,0.07965803631062743
AA_595.0_23-Mar-2011_01:08,0.9451280166036771,0.05487198339632301
AA_595.0_23-Mar-2011_01:30,0.9207573243059206,0.07924267569407943
AA_595.0_23-Mar-2011_01:53,1.0,0.0
AA_595.0_23-Mar-2011_02:15,1.0,0.0
AA_595.0_23-Mar-2011_02:38,0.6315884574948473,0.3684115425051528
AA_595.0_23-Mar-2011_03:01,0.759313794813385,0.240686205186615
AA_595.0_23-Mar-2011_03:24,1.0,0.0
AA_595.0_23-Mar-2011_03:47,1.0,0.0
AA_595.0_23-Mar-2011_04:10,1.0,0.0
AA_595.0_23-Mar-2011_04:33,1.0,0.0
AA_595.0_23-Mar-2011_04:56,1.0,0.0
AA_595.0_23-Mar-2011_05:20,1.0,0.0
AA_595.0_23-Mar-2011_05:43,0.9804247926177136,0.01957520738228647
AA_595.0_23-Mar-2011_06:06,1.0,0.0
AA_595.0_23-Mar-2011_06:29,0.9668467722343758,0.033153227765624245
AA_595.0_23-Mar-2011_06:52,0.983217171173982,0.016782828826018007
AA_595.0_23-Mar-2011_07:15,1.0,0.0
AA_595.0_23-Mar-2011_07:39,1.0,0.0
AA_595.0_23-Mar-2011_08:02,1.0,0.0
AA_595.0_23-Mar-2011_08:26,0.988469275309244,0.011530724690756108
AA_595.0_23-Mar-2011_08:50,0.9803384733445857,0.019661526655414308
AA_595.0_23-Mar-2011_09:14,1.0,0.0
AA_595.0_23-Mar-2011_09:38,0.9979295450825271,0.0020704549174729355
AA_595.0_23-Mar-2011_10:02,1.0,0.0
AA_595.0_23-Mar-2011_10:26,1.0,0.0
AA_595.0_23-Mar-2011_10:56,1.0,0.0
AA_595.0_23-Mar-2011_11:28,0.9408626068515675,0.059137393148432534
AA_595.0_23-Mar-2011_12:00,0.8965857780689531,0.10341422193104675
AA_595.0_23-Mar-2011_12:32,0.9287228603589962,0.07127713964100388
AA_595.0_23-Mar-2011_13:03,0.9629552646930466,0.03704473530695331
AA_595.0_23-Mar-2011_13:35,0.9559984424436876,0.04400155755631242
AA_595.0_23-Mar-2011_14:06,0.95439119130416,0.045608808695840115
AA_595.0_23-Mar-2011_14:37,1.0,0.0
AA_595.0_23-Mar-2011_15:09,0.955957253655192,0.044042746344808
AA_595.0_23-Mar-2011_15:40,0.9697458360732796,0.030254163926720406
AA_595.0_23-Mar-2011_16:10,0.9534956380383144,0.046504361961685635
AA_595.0_23-Mar-2011_16:41,0.9541509168612254,0.045849083138774574
AA_595.0_23-Mar-2011_17:10,0.9527444554813668,0.047255544518633244
AA_595.0_23-Mar-2011_17:39,0.9869728439840579,0.013027156015941989
AA_595.0_23-Mar-2011_18:08,0.9932698226685253,0.00673017733147484
AA_595.0_23-Mar-2011_18:37,0.9885294395068323,0.011470560493167673
AA_595.0_23-Mar-2011_19:06,0.9292286337940684,0.07077136620593154
