source,target,weight
0,399,0.007295283023267984
0,10,0.5432872772216797
1,6,1.8834713046089746e-05
2,4,0.0532645657658577
2,11,0.5478880405426025
3,268,0.0002170329971704632
5,45,0.04286399111151695
5,111,0.04902677983045578
7,399,4.291350342100486e-05
8,51,0.09224337339401245
8,430,0.46374720335006714
9,313,0.9520410299301147
10,8,0.28170397877693176
11,391,0.04672656208276749
12,39,0.29338592290878296
13,517,0.0005243649939075112
14,311,0.24882027506828308
15,241,0.0032992823980748653
16,76,0.013538403436541557
17,417,0.0011695042485371232
18,193,0.014341305010020733
19,79,0.0013520295033231378
20,440,0.0025412666145712137
21,47,0.000511503720190376
22,78,0.0018750965828076005
23,62,0.0010575780179351568
24,107,0.009109086357057095
25,104,0.026007704436779022
25,197,0.07443729788064957
26,33,0.012729777954518795
27,133,0.004060758277773857
27,534,0.02538871392607689
28,532,0.0032257353886961937
28,198,0.0032591349445283413
29,46,0.005081214010715485
30,147,0.015014884993433952
31,62,0.0002999597927555442
32,156,0.008494088426232338
33,160,0.006144680082798004
33,75,0.008642198517918587
34,38,0.0036862597335129976
35,176,0.0022130992729216814
36,134,0.0013651069020852447
37,408,0.08454679697751999
38,413,0.00040467092185281217
38,155,0.0010251016356050968
39,50,0.002202299190685153
40,84,0.022075043991208076
41,137,0.13515804708003998
42,23,0.0019027675734832883
43,46,0.0012566728983074427
44,49,0.0005662809126079082
44,31,0.0007442653295584023
46,66,0.0010002374183386564
47,62,0.0003398693515919149
48,420,0.05213019251823425
49,54,0.00016138333012349904
50,78,0.00043933154665865004
50,176,0.004173785913735628
52,608,0.0028669657185673714
52,29,0.005253937095403671
53,241,0.008244640193879604
55,330,0.026263443753123283
56,49,0.0007333142566494644
56,413,0.0014634141698479652
57,182,0.0037053111009299755
57,42,0.004473846405744553
58,62,0.00016662682173773646
58,268,0.00026969786267727613
59,68,0.003151704091578722
60,117,0.01103323046118021
61,541,0.27237293124198914
63,297,0.0028576022014021873
63,435,0.005880145821720362
64,297,0.0007700945716351271
64,176,0.005957777611911297
65,79,0.0013906663516536355
66,82,0.002295932499691844
67,483,0.013604172505438328
67,201,0.021029992029070854
68,603,0.0010077324695885181
68,80,0.0018319839145988226
69,58,0.0005143618327565491
