id,topic_label,group_id,ship,best_k,component,dominant_species,n_segments,period_start,period_end,top3_detail,umap_x,umap_y
0,G0_component_1,0,AA,2,component_1,Euphausia superba,26,1991-01-12,1991-01-12,"Euphausia superba (0.84), Thysanoessa macrura furcilia (0.09), Calanus propinquus (0.03)",2.6338958740234375,2.7264442443847656
1,G0_component_2,0,AA,2,component_2,Thysanoessa macrura,26,1991-01-12,1991-01-12,"Thysanoessa macrura (1.00), Euphausia superba (0.00), Chaetognatha indet (0.00)",2.5334713459014893,3.346666097640991
2,G1_component_1,1,AA,2,component_1,Calanus propinquus,11,1991-03-06,1991-03-06,"Calanus propinquus (0.68), Limacina sp. (0.18), Euphausia superba (0.07)",3.2380619049072266,3.3849618434906006
3,G1_component_2,1,AA,2,component_2,Oithona similis,11,1991-03-06,1991-03-06,"Oithona similis (1.00), Calanus propinquus (0.00), Chaetognatha indet (0.00)",2.372467279434204,1.8721357583999634
4,G2_component_1,2,AA,2,component_1,Calanus propinquus,175,1991-03-09,1991-03-13,"Calanus propinquus (0.55), Ctenocalanus citer (0.22), Limacina sp. (0.09)",3.214979887008667,3.3605260848999023
5,G2_component_2,2,AA,2,component_2,Calanoida indet (small),175,1991-03-09,1991-03-13,"Calanoida indet (small) (0.56), Calanus propinquus (0.18), Oithona similis (0.13)",14.394734382629395,7.791947841644287
6,G3_component_1,3,AA,4,component_1,Thysanoessa macrura,91,1993-01-13,1993-01-14,"Thysanoessa macrura (0.99), Spongiobranchaea australis (0.01), Clio pyramidata (0.00)",2.5240375995635986,3.3664257526397705
7,G3_component_2,3,AA,4,component_2,Euphausia superba,91,1993-01-13,1993-01-14,"Euphausia superba (0.99), Spongiobranchaea australis (0.01), Clio pyramidata (0.00)",2.6571691036224365,3.0152015686035156
8,G3_component_3,3,AA,4,component_3,Thysanoessa macrura furcilia,91,1993-01-13,1993-01-14,"Thysanoessa macrura furcilia (1.00), Calanus propinquus (0.00), Chaetognatha indet (0.00)",2.5630433559417725,2.396718740463257
9,G3_component_4,3,AA,4,component_4,Clio pyramidata,91,1993-01-13,1993-01-14,"Clio pyramidata (0.93), Themisto gaudichaudii (0.07), Euphausia superba (0.00)",-6.093501567840576,5.429605007171631
10,G4_component_1,4,AA,3,component_1,Thysanoessa macrura furcilia,17,1993-02-27,1993-02-27,"Thysanoessa macrura furcilia (0.36), Themisto gaudichaudii (0.27), Euphausia superba (0.19)",2.6047005653381348,2.5501701831817627
11,G4_component_2,4,AA,3,component_2,Euphausia superba,17,1993-02-27,1993-02-27,"Euphausia superba (0.71), Calanus propinquus (0.29), Chaetognatha indet (0.00)",3.181807518005371,3.339902877807617
12,G4_component_3,4,AA,3,component_3,Calanoida indet (small),17,1993-02-27,1993-02-27,"Calanoida indet (small) (0.50), Crustacea nauplius indet (0.50), Calanus propinquus (0.00)",11.132346153259277,8.214491844177246
13,G5_component_1,5,AA,2,component_1,Limacina sp.,94,1994-02-05,1994-02-07,"Limacina sp. (0.96), Euphausia superba furcilia (0.02), Euphausia superba (0.01)",-2.650874137878418,2.1547789573669434
14,G5_component_2,5,AA,2,component_2,Calanoides acutus,94,1994-02-05,1994-02-07,"Calanoides acutus (0.41), Copepoda indet (0.29), Euphausia superba furcilia (0.14)",11.081138610839844,-0.8317884206771851
15,G6_component_1,6,AA,2,component_1,Oithona similis,82,1997-11-03,1997-11-04,"Oithona similis (0.63), Calanoida indet (small) (0.18), Fritillaria sp. (0.06)",1.0682154893875122,12.501082420349121
16,G6_component_2,6,AA,2,component_2,Calanoida indet (small),82,1997-11-03,1997-11-04,"Calanoida indet (small) (0.53), Oithona similis (0.19), Foraminifera indet (0.08)",14.335526466369629,10.351552963256836
17,G7_component_1,7,AA,2,component_1,Oithona similis,183,1997-12-02,1997-12-04,"Oithona similis (0.76), Nauplius indet (0.11), Calanoida indet (small) (0.10)",0.4438095688819885,7.817956924438477
18,G7_component_2,7,AA,2,component_2,Foraminifera indet,183,1997-12-02,1997-12-04,"Foraminifera indet (0.43), Oithona similis (0.38), Calanoida indet (small) (0.11)",-5.128913402557373,4.841897487640381
19,G8_component_1,8,AA,2,component_1,Oithona similis,160,1998-01-11,1998-01-14,"Oithona similis (0.63), Calanoida indet (small) (0.28), Nauplius indet (0.04)",1.5658223628997803,13.765296936035156
20,G8_component_2,8,AA,2,component_2,Oithona similis,160,1998-01-11,1998-01-14,"Oithona similis (0.53), Foraminifera indet (0.45), Calanoides acutus (0.01)",-4.149155139923096,4.741816520690918
21,G9_component_1,9,AA,2,component_1,Oithona similis,461,1998-01-29,1998-02-06,"Oithona similis (0.91), Calanoida indet (small) (0.03), Calanus simillimus (0.02)",1.7012255191802979,1.279381513595581
22,G9_component_2,9,AA,2,component_2,Calanoida indet (small),461,1998-01-29,1998-02-06,"Calanoida indet (small) (0.81), Limacina sp. (0.09), Calanus simillimus (0.04)",11.02286434173584,8.515945434570312
23,G10_component_1,10,AA,2,component_1,Oithona similis,105,1998-02-15,1998-02-18,"Oithona similis (0.87), Nauplius indet (0.03), Fritillaria sp. (0.03)",2.6767852306365967,0.4741206169128418
24,G10_component_2,10,AA,2,component_2,Calanoida indet (small),105,1998-02-15,1998-02-18,"Calanoida indet (small) (0.69), Oithona similis (0.14), Calanoides acutus (0.11)",13.640802383422852,8.515260696411133
25,G11_component_1,11,AA,2,component_1,Limacina sp.,134,1998-02-19,1998-02-21,"Limacina sp. (0.56), Calanoida indet (small) (0.28), Calanus simillimus (0.14)",-2.65986967086792,1.5987640619277954
26,G11_component_2,11,AA,2,component_2,Oithona similis,134,1998-02-19,1998-02-21,"Oithona similis (0.42), Calanoida indet (small) (0.37), Calanus simillimus (0.06)",2.2114005088806152,15.040547370910645
27,G12_component_1,12,AA,2,component_1,Foraminifera indet,132,1998-11-02,1998-11-05,"Foraminifera indet (0.65), Calanoida indet (small) (0.26), Calanus simillimus (0.03)",-7.66620397567749,5.886401176452637
28,G12_component_2,12,AA,2,component_2,Oithona similis,132,1998-11-02,1998-11-05,"Oithona similis (0.66), Fritillaria sp. (0.16), Oikopleura sp. (0.08)",3.227224349975586,-0.5618870258331299
29,G13_component_1,13,AA,2,component_1,Calanoida indet (small),88,1999-03-14,1999-03-16,"Calanoida indet (small) (0.59), Oithona similis (0.26), Calanus simillimus (0.07)",13.905017852783203,10.30986213684082
30,G13_component_2,13,AA,2,component_2,Oithona similis,88,1999-03-14,1999-03-16,"Oithona similis (0.67), Oikopleura sp. (0.11), Calanus simillimus (0.07)",0.9639478921890259,1.0300147533416748
31,G14_component_1,14,AA,2,component_1,Oithona similis,89,1999-03-18,1999-03-20,"Oithona similis (0.92), Calanoida indet (small) (0.04), Fritillaria sp. (0.02)",2.2511329650878906,1.408934235572815
32,G14_component_2,14,AA,2,component_2,Calanoida indet (small),89,1999-03-18,1999-03-20,"Calanoida indet (small) (0.83), Fritillaria sp. (0.10), Oithona similis (0.03)",9.949615478515625,7.29525089263916
33,G15_component_1,15,AA,3,component_1,Oithona similis,18,1999-11-12,1999-11-12,"Oithona similis (0.49), Calanoida indet (small) (0.44), Nauplius indet (0.02)",2.219120740890503,15.042357444763184
34,G15_component_2,15,AA,3,component_2,Oithona similis,18,1999-11-12,1999-11-12,"Oithona similis (0.74), Calanoida indet (small) (0.10), Thysanoessa macrura calyptopis (0.04)",0.7212488651275635,8.092162132263184
35,G15_component_3,15,AA,3,component_3,Calanoida indet (small),18,1999-11-12,1999-11-12,"Calanoida indet (small) (0.77), Calanus simillimus (0.11), Rhincalanus gigas nauplius (0.03)",11.187498092651367,8.034079551696777
36,G16_component_1,16,AA,2,component_1,Oithona similis,86,1999-12-01,1999-12-02,"Oithona similis (0.76), Calanoida indet (small) (0.07), Rhincalanus gigas nauplius (0.06)",-0.7161959409713745,6.8409743309021
37,G16_component_2,16,AA,2,component_2,Calanoida indet (small),86,1999-12-01,1999-12-02,"Calanoida indet (small) (0.53), Nauplius indet (0.22), Rhincalanus gigas nauplius (0.19)",10.559213638305664,13.315512657165527
38,G17_component_1,17,AA,5,component_1,Oithona similis,177,2000-01-13,2000-01-15,"Oithona similis (0.83), Calanoida indet (small) (0.14), Rhincalanus gigas nauplius (0.02)",0.7522087693214417,8.114168167114258
39,G17_component_2,17,AA,5,component_2,Calanoida indet (small),177,2000-01-13,2000-01-15,"Calanoida indet (small) (0.95), Calanoides acutus (0.03), Thysanoessa macrura furcilia (0.01)",11.196833610534668,8.148982048034668
40,G17_component_3,17,AA,5,component_3,Foraminifera indet,177,2000-01-13,2000-01-15,"Foraminifera indet (0.64), Nauplius indet (0.12), Oithona similis (0.08)",-6.771158695220947,5.791319370269775
41,G17_component_4,17,AA,5,component_4,Calanoida indet (small),177,2000-01-13,2000-01-15,"Calanoida indet (small) (0.40), Calanoides acutus (0.24), Calanus simillimus (0.21)",11.427569389343262,-0.4957825839519501
42,G17_component_5,17,AA,5,component_5,Oithona similis,177,2000-01-13,2000-01-15,"Oithona similis (0.88), Fritillaria sp. (0.07), Nauplius indet (0.03)",2.8271753787994385,0.1529436856508255
43,G18_component_1,18,AA,3,component_1,Calanoida indet (small),236,2000-01-25,2000-01-31,"Calanoida indet (small) (0.65), Oithona similis (0.30), Rhincalanus gigas nauplius (0.01)",10.271186828613281,13.479813575744629
44,G18_component_2,18,AA,3,component_2,Oithona similis,236,2000-01-25,2000-01-31,"Oithona similis (0.86), Calanoida indet (small) (0.06), Rhincalanus gigas nauplius (0.02)",-0.5290162563323975,7.113297939300537
45,G18_component_3,18,AA,3,component_3,Calanoida indet (small),236,2000-01-25,2000-01-31,"Calanoida indet (small) (0.47), Calanus propinquus (0.22), Oithona similis (0.10)",14.4708890914917,7.78981351852417
46,G19_component_1,19,AA,3,component_1,Calanoida indet (small),250,2000-02-08,2000-02-11,"Calanoida indet (small) (0.67), Oithona similis (0.28), Thysanoessa macrura furcilia (0.01)",14.027792930603027,10.161725997924805
47,G19_component_2,19,AA,3,component_2,Oithona similis,250,2000-02-08,2000-02-11,"Oithona similis (0.96), Calanoida indet (small) (0.03), Thysanoessa macrura furcilia (0.01)",1.977480411529541,1.365954041481018
48,G19_component_3,19,AA,3,component_3,Fritillaria sp.,250,2000-02-08,2000-02-11,"Fritillaria sp. (0.47), Nauplius indet (0.15), Calanoida indet (small) (0.12)",6.018182277679443,-1.8096147775650024
49,G20_component_1,20,AA,3,component_1,Oithona similis,183,2000-02-23,2000-02-26,"Oithona similis (0.90), Calanoida indet (small) (0.08), Fritillaria sp. (0.01)",-0.16204488277435303,7.33101749420166
50,G20_component_2,20,AA,3,component_2,Calanoida indet (small),183,2000-02-23,2000-02-26,"Calanoida indet (small) (0.89), Limacina sp. (0.03), Calanus simillimus (0.03)",11.180808067321777,8.15703296661377
51,G20_component_3,20,AA,3,component_3,Thysanoessa macrura furcilia,183,2000-02-23,2000-02-26,"Thysanoessa macrura furcilia (0.61), Calanus simillimus (0.27), Thysanoessa macrura (0.05)",2.568110942840576,2.3565354347229004
52,G21_component_1,21,AA,2,component_1,Calanoida indet (small),90,2000-03-17,2000-03-19,"Calanoida indet (small) (0.56), Oithona similis (0.25), Calanus simillimus (0.11)",13.758685111999512,10.448710441589355
53,G21_component_2,21,AA,2,component_2,Oithona similis,90,2000-03-17,2000-03-19,"Oithona similis (0.64), Calanoida indet (small) (0.19), Limacina sp. (0.08)",1.2089661359786987,12.405704498291016
54,G22_component_1,22,AA,2,component_1,Oithona similis,55,2000-11-08,2000-11-09,"Oithona similis (0.90), Calanoida indet (small) (0.08), Thysanoessa macrura (0.01)",-0.166235089302063,7.328014850616455
55,G22_component_2,22,AA,2,component_2,Fritillaria sp.,55,2000-11-08,2000-11-09,"Fritillaria sp. (0.68), Calanoida indet (small) (0.22), Thysanoessa macrura (0.04)",5.916506767272949,-1.7206974029541016
56,G23_component_1,23,AA,2,component_1,Oithona similis,85,2000-12-01,2000-12-02,"Oithona similis (0.87), Calanoida indet (small) (0.10), Nauplius indet (0.03)",0.12159892916679382,7.532576084136963
57,G23_component_2,23,AA,2,component_2,Oithona similis,85,2000-12-01,2000-12-02,"Oithona similis (0.82), Fritillaria sp. (0.14), Nauplius indet (0.02)",2.9085195064544678,-0.017043108120560646
58,G24_component_1,24,AA,2,component_1,Oithona similis,249,2000-12-20,2000-12-25,"Oithona similis (0.93), Fritillaria sp. (0.02), Calanoida indet (small) (0.02)",2.351029634475708,1.747267246246338
59,G24_component_2,24,AA,2,component_2,Calanoida indet (small),249,2000-12-20,2000-12-25,"Calanoida indet (small) (0.71), Oithona similis (0.18), Nauplius indet (0.04)",13.216029167175293,8.435596466064453
60,G25_component_1,25,AA,2,component_1,Calanoida indet (small),20,2001-01-03,2001-01-03,"Calanoida indet (small) (0.52), Oithona similis (0.31), Euphausiidae furcilia indet (0.06)",10.296506881713867,13.531684875488281
61,G25_component_2,25,AA,2,component_2,Oikopleura sp.,20,2001-01-03,2001-01-03,"Oikopleura sp. (0.39), Oithona similis (0.28), Calanoida indet (small) (0.25)",5.327486038208008,16.26218605041504
62,G26_component_1,26,AA,2,component_1,Oithona similis,361,2001-01-05,2001-01-12,"Oithona similis (0.93), Calanoida indet (small) (0.02), Fritillaria sp. (0.02)",2.225748300552368,1.4560719728469849
63,G26_component_2,26,AA,2,component_2,Calanoida indet (small),361,2001-01-05,2001-01-12,"Calanoida indet (small) (0.69), Oithona similis (0.11), Calanus simillimus (0.09)",12.051973342895508,8.243827819824219
64,G27_component_1,27,AA,2,component_1,Calanoida indet (small),347,2001-03-02,2001-03-07,"Calanoida indet (small) (0.77), Calanus simillimus (0.07), Oithona similis (0.07)",11.589383125305176,8.14680290222168
65,G27_component_2,27,AA,2,component_2,Oithona similis,347,2001-03-02,2001-03-07,"Oithona similis (0.70), Calanoida indet (small) (0.28), Themisto gaudichaudii (0.00)",1.4151105880737305,13.225944519042969
66,G28_component_1,28,AA,2,component_1,Calanoida indet (small),259,2001-03-14,2001-03-18,"Calanoida indet (small) (0.67), Oithona similis (0.26), Ostracoda indet (0.02)",13.971491813659668,9.760908126831055
67,G28_component_2,28,AA,2,component_2,Calanus simillimus,259,2001-03-14,2001-03-18,"Calanus simillimus (0.51), Calanoida indet (small) (0.34), Ostracoda indet (0.07)",12.297842979431152,-0.1443624049425125
