group_id,ship,n_segments,n_tows_merged,best_k,component,period_start,period_end,folder,year,topic_label,dominant_species,topic_idx
0,AA,26,1,2,component_1,1991-01-12,1991-01-12,group_0000_AA,1991,G0_component_1,Euphausia superba,0
0,AA,26,1,2,component_2,1991-01-12,1991-01-12,group_0000_AA,1991,G0_component_2,Thysanoessa macrura,1
1,AA,11,2,2,component_1,1991-03-06,1991-03-06,group_0001_AA,1991,G1_component_1,Calanus propinquus,2
1,AA,11,2,2,component_2,1991-03-06,1991-03-06,group_0001_AA,1991,G1_component_2,Oithona similis,3
2,AA,175,6,2,component_1,1991-03-09,1991-03-13,group_0002_AA,1991,G2_component_1,Calanus propinquus,4
2,AA,175,6,2,component_2,1991-03-09,1991-03-13,group_0002_AA,1991,G2_component_2,Calanoida indet (small),5
3,AA,91,1,4,component_1,1993-01-13,1993-01-14,group_0003_AA,1993,G3_component_1,Thysanoessa macrura,6
3,AA,91,1,4,component_2,1993-01-13,1993-01-14,group_0003_AA,1993,G3_component_2,Euphausia superba,7
3,AA,91,1,4,component_3,1993-01-13,1993-01-14,group_0003_AA,1993,G3_component_3,Thysanoessa macrura furcilia,8
3,AA,91,1,4,component_4,1993-01-13,1993-01-14,group_0003_AA,1993,G3_component_4,Clio pyramidata,9
4,AA,17,1,3,component_1,1993-02-27,1993-02-27,group_0004_AA,1993,G4_component_1,Thysanoessa macrura furcilia,10
4,AA,17,1,3,component_2,1993-02-27,1993-02-27,group_0004_AA,1993,G4_component_2,Euphausia superba,11
4,AA,17,1,3,component_3,1993-02-27,1993-02-27,group_0004_AA,1993,G4_component_3,Calanoida indet (small),12
5,AA,94,1,2,component_1,1994-02-05,1994-02-07,group_0005_AA,1994,G5_component_1,Limacina sp.,13
5,AA,94,1,2,component_2,1994-02-05,1994-02-07,group_0005_AA,1994,G5_component_2,Calanoides acutus,14
6,AA,82,1,2,component_1,1997-11-03,1997-11-04,group_0006_AA,1997,G6_component_1,Oithona similis,15
6,AA,82,1,2,component_2,1997-11-03,1997-11-04,group_0006_AA,1997,G6_component_2,Calanoida indet (small),16
7,AA,183,2,2,component_1,1997-12-02,1997-12-04,group_0007_AA,1997,G7_component_1,Oithona similis,17
7,AA,183,2,2,component_2,1997-12-02,1997-12-04,group_0007_AA,1997,G7_component_2,Foraminifera indet,18
8,AA,160,2,2,component_1,1998-01-11,1998-01-14,group_0008_AA,1998,G8_component_1,Oithona similis,19
8,AA,160,2,2,component_2,1998-01-11,1998-01-14,group_0008_AA,1998,G8_component_2,Oithona similis,20
9,AA,461,6,2,component_1,1998-01-29,1998-02-06,group_0009_AA,1998,G9_component_1,Oithona similis,21
9,AA,461,6,2,component_2,1998-01-29,1998-02-06,group_0009_AA,1998,G9_component_2,Calanoida indet (small),22
10,AA,105,3,2,component_1,1998-02-15,1998-02-18,group_0010_AA,1998,G10_component_1,Oithona similis,23
10,AA,105,3,2,component_2,1998-02-15,1998-02-18,group_0010_AA,1998,G10_component_2,Calanoida indet (small),24
11,AA,134,2,2,component_1,1998-02-19,1998-02-21,group_0011_AA,1998,G11_component_1,Limacina sp.,25
11,AA,134,2,2,component_2,1998-02-19,1998-02-21,group_0011_AA,1998,G11_component_2,Oithona similis,26
12,AA,132,2,2,component_1,1998-11-02,1998-11-05,group_0012_AA,1998,G12_component_1,Foraminifera indet,27
12,AA,132,2,2,component_2,1998-11-02,1998-11-05,group_0012_AA,1998,G12_component_2,Oithona similis,28
13,AA,88,1,2,component_1,1999-03-14,1999-03-16,group_0013_AA,1999,G13_component_1,Calanoida indet (small),29
13,AA,88,1,2,component_2,1999-03-14,1999-03-16,group_0013_AA,1999,G13_component_2,Oithona similis,30
14,AA,89,1,2,component_1,1999-03-18,1999-03-20,group_0014_AA,1999,G14_component_1,Oithona similis,31
14,AA,89,1,2,component_2,1999-03-18,1999-03-20,group_0014_AA,1999,G14_component_2,Calanoida indet (small),32
15,AA,18,1,3,component_1,1999-11-12,1999-11-12,group_0015_AA,1999,G15_component_1,Oithona similis,33
15,AA,18,1,3,component_2,1999-11-12,1999-11-12,group_0015_AA,1999,G15_component_2,Oithona similis,34
15,AA,18,1,3,component_3,1999-11-12,1999-11-12,group_0015_AA,1999,G15_component_3,Calanoida indet (small),35
16,AA,86,2,2,component_1,1999-12-01,1999-12-02,group_0016_AA,1999,G16_component_1,Oithona similis,36
16,AA,86,2,2,component_2,1999-12-01,1999-12-02,group_0016_AA,1999,G16_component_2,Calanoida indet (small),37
17,AA,177,3,5,component_1,2000-01-13,2000-01-15,group_0017_AA,2000,G17_component_1,Oithona similis,38
17,AA,177,3,5,component_2,2000-01-13,2000-01-15,group_0017_AA,2000,G17_component_2,Calanoida indet (small),39
17,AA,177,3,5,component_3,2000-01-13,2000-01-15,group_0017_AA,2000,G17_component_3,Foraminifera indet,40
17,AA,177,3,5,component_4,2000-01-13,2000-01-15,group_0017_AA,2000,G17_component_4,Calanoida indet (small),41
17,AA,177,3,5,component_5,2000-01-13,2000-01-15,group_0017_AA,2000,G17_component_5,Oithona similis,42
18,AA,236,3,3,component_1,2000-01-25,2000-01-31,group_0018_AA,2000,G18_component_1,Calanoida indet (small),43
18,AA,236,3,3,component_2,2000-01-25,2000-01-31,group_0018_AA,2000,G18_component_2,Oithona similis,44
18,AA,236,3,3,component_3,2000-01-25,2000-01-31,group_0018_AA,2000,G18_component_3,Calanoida indet (small),45
19,AA,250,3,3,component_1,2000-02-08,2000-02-11,group_0019_AA,2000,G19_component_1,Calanoida indet (small),46
19,AA,250,3,3,component_2,2000-02-08,2000-02-11,group_0019_AA,2000,G19_component_2,Oithona similis,47
19,AA,250,3,3,component_3,2000-02-08,2000-02-11,group_0019_AA,2000,G19_component_3,Fritillaria sp.,48
