Segment_ID,Salp_abundance,Euph_abundance,SalpEuph_diff
AA_1.0_12-Jan-1991_10:20,0,0,0
AA_1.0_12-Jan-1991_10:43,0,1,-1
AA_1.0_12-Jan-1991_11:06,0,0,0
AA_1.0_12-Jan-1991_11:30,0,0,0
AA_1.0_12-Jan-1991_11:53,0,0,0
AA_1.0_12-Jan-1991_12:16,0,1,-1
AA_1.0_12-Jan-1991_12:39,0,3,-3
AA_1.0_12-Jan-1991_13:02,0,9,-9
AA_1.0_12-Jan-1991_13:25,0,8,-8
AA_1.0_12-Jan-1991_13:48,0,7,-7
AA_1.0_12-Jan-1991_14:11,0,7,-7
AA_1.0_12-Jan-1991_14:35,0,10,-10
AA_1.0_12-Jan-1991_14:57,0,11,-11
AA_1.0_12-Jan-1991_15:20,0,5,-5
AA_1.0_12-Jan-1991_15:43,0,4,-4
AA_1.0_12-Jan-1991_16:06,0,6,-6
AA_1.0_12-Jan-1991_16:29,0,6,-6
AA_1.0_12-Jan-1991_16:57,0,4,-4
AA_1.0_12-Jan-1991_17:21,0,8,-8
AA_1.0_12-Jan-1991_17:44,0,7,-7
AA_1.0_12-Jan-1991_18:07,0,1,-1
AA_1.0_12-Jan-1991_18:30,0,3,-3
AA_1.0_12-Jan-1991_18:54,0,2,-2
AA_1.0_12-Jan-1991_19:17,0,2,-2
AA_1.0_12-Jan-1991_19:41,0,1,-1
AA_1.0_12-Jan-1991_20:06,0,29,-29
AA_2.0_06-Mar-1991_03:01,0,1,-1
AA_2.0_06-Mar-1991_03:31,0,0,0
AA_2.0_06-Mar-1991_04:01,0,0,0
AA_2.0_06-Mar-1991_04:31,0,0,0
AA_2.0_06-Mar-1991_05:02,0,0,0
AA_3.0_06-Mar-1991_06:47,0,0,0
AA_3.0_06-Mar-1991_07:15,0,0,0
AA_3.0_06-Mar-1991_07:45,0,0,0
AA_3.0_06-Mar-1991_08:13,0,0,0
AA_3.0_06-Mar-1991_08:40,0,0,0
AA_3.0_06-Mar-1991_09:09,0,0,0
AA_4.0_09-Mar-1991_03:16,0,0,0
AA_4.0_09-Mar-1991_03:41,0,0,0
AA_4.0_09-Mar-1991_04:08,0,3,-3
AA_4.0_09-Mar-1991_04:34,0,0,0
AA_4.0_09-Mar-1991_05:01,0,0,0
AA_4.0_09-Mar-1991_05:28,0,0,0
AA_4.0_09-Mar-1991_05:54,0,1,-1
AA_4.0_09-Mar-1991_06:22,0,1,-1
AA_4.0_09-Mar-1991_06:49,0,0,0
AA_4.0_09-Mar-1991_07:16,0,0,0
AA_4.0_09-Mar-1991_07:43,0,0,0
AA_4.0_09-Mar-1991_08:11,0,1,-1
AA_4.0_09-Mar-1991_08:38,0,2,-2
AA_4.0_09-Mar-1991_09:06,0,3,-3
AA_4.0_09-Mar-1991_09:33,0,2,-2
AA_4.0_09-Mar-1991_10:00,0,4,-4
AA_4.0_09-Mar-1991_10:21,0,16,-16
AA_5.0_10-Mar-1991_03:14,0,0,0
AA_5.0_10-Mar-1991_03:47,0,0,0
AA_5.0_10-Mar-1991_04:21,0,0,0
AA_5.0_10-Mar-1991_04:57,0,0,0
AA_5.0_10-Mar-1991_05:34,0,0,0
AA_5.0_10-Mar-1991_06:12,0,0,0
AA_5.0_10-Mar-1991_06:48,0,0,0
AA_5.0_10-Mar-1991_07:22,0,0,0
AA_5.0_10-Mar-1991_07:53,0,0,0
AA_5.0_10-Mar-1991_08:24,0,1,-1
AA_5.0_10-Mar-1991_08:53,0,2,-2
AA_5.0_10-Mar-1991_09:22,0,0,0
AA_5.0_10-Mar-1991_09:50,0,0,0
AA_5.0_10-Mar-1991_10:18,0,3,-3
AA_5.0_10-Mar-1991_10:45,0,1,-1
AA_5.0_10-Mar-1991_11:12,0,4,-4
AA_5.0_10-Mar-1991_11:37,0,1,-1
AA_5.0_10-Mar-1991_12:10,0,4,-4
AA_6.0_10-Mar-1991_19:07,0,5,-5
AA_6.0_10-Mar-1991_19:34,0,2,-2
AA_6.0_10-Mar-1991_20:05,0,2,-2
AA_6.0_10-Mar-1991_20:41,0,3,-3
AA_6.0_10-Mar-1991_21:18,0,3,-3
AA_6.0_10-Mar-1991_21:55,0,8,-8
AA_6.0_10-Mar-1991_22:32,0,0,0
AA_6.0_10-Mar-1991_22:59,0,1,-1
AA_6.0_10-Mar-1991_23:24,0,1,-1
AA_6.0_10-Mar-1991_23:49,0,4,-4
AA_6.0_11-Mar-1991_00:13,0,4,-4
AA_6.0_11-Mar-1991_00:37,0,6,-6
AA_6.0_11-Mar-1991_01:01,0,8,-8
AA_6.0_11-Mar-1991_01:25,0,10,-10
AA_6.0_11-Mar-1991_01:51,0,9,-9
AA_6.0_11-Mar-1991_02:15,0,10,-10
AA_6.0_11-Mar-1991_02:41,0,32,-32
AA_6.0_11-Mar-1991_03:07,0,14,-14
AA_6.0_11-Mar-1991_03:32,0,5,-5
AA_6.0_11-Mar-1991_03:58,0,4,-4
AA_6.0_11-Mar-1991_04:24,0,4,-4
AA_6.0_11-Mar-1991_04:50,0,5,-5
AA_6.0_11-Mar-1991_05:16,0,6,-6
AA_6.0_11-Mar-1991_05:43,0,51,-51
AA_6.0_11-Mar-1991_06:09,0,1,-1
AA_6.0_11-Mar-1991_06:35,0,2,-2
AA_6.0_11-Mar-1991_07:01,0,3,-3
AA_6.0_11-Mar-1991_07:27,0,2,-2
AA_6.0_11-Mar-1991_07:53,0,8,-8
AA_6.0_11-Mar-1991_08:19,0,7,-7
AA_6.0_11-Mar-1991_08:45,0,14,-14
AA_6.0_11-Mar-1991_09:11,0,8,-8
AA_6.0_11-Mar-1991_09:38,0,7,-7
AA_6.0_11-Mar-1991_10:03,0,12,-12
AA_6.0_11-Mar-1991_10:29,0,12,-12
AA_6.0_11-Mar-1991_10:55,0,34,-34
AA_6.0_11-Mar-1991_11:21,0,18,-18
AA_6.0_11-Mar-1991_11:47,0,26,-26
AA_6.0_11-Mar-1991_12:12,0,32,-32
AA_6.0_11-Mar-1991_12:38,0,21,-21
AA_6.0_11-Mar-1991_13:02,0,7,-7
AA_6.0_11-Mar-1991_13:27,0,11,-11
AA_6.0_11-Mar-1991_13:52,0,6,-6
AA_6.0_11-Mar-1991_14:18,0,106,-106
AA_7.0_11-Mar-1991_14:54,0,1,-1
AA_7.0_11-Mar-1991_15:17,0,0,0
AA_7.0_11-Mar-1991_15:40,0,4,-4
AA_7.0_11-Mar-1991_16:03,0,9,-9
AA_7.0_11-Mar-1991_16:26,0,10,-10
AA_7.0_11-Mar-1991_16:48,0,9,-9
AA_7.0_11-Mar-1991_17:10,0,6,-6
AA_7.0_11-Mar-1991_17:33,0,5,-5
AA_7.0_11-Mar-1991_17:55,0,7,-7
AA_7.0_11-Mar-1991_18:19,0,5,-5
AA_7.0_11-Mar-1991_18:50,0,5,-5
AA_7.0_11-Mar-1991_19:20,0,2,-2
AA_7.0_11-Mar-1991_19:51,0,4,-4
AA_7.0_11-Mar-1991_20:22,0,6,-6
AA_7.0_11-Mar-1991_20:54,0,11,-11
AA_7.0_11-Mar-1991_21:26,0,11,-11
AA_7.0_11-Mar-1991_21:54,0,8,-8
AA_7.0_11-Mar-1991_22:17,0,8,-8
AA_7.0_11-Mar-1991_22:40,0,2,-2
AA_7.0_11-Mar-1991_23:04,0,4,-4
AA_7.0_11-Mar-1991_23:27,0,7,-7
AA_7.0_11-Mar-1991_23:50,0,9,-9
AA_7.0_12-Mar-1991_00:13,0,10,-10
AA_7.0_12-Mar-1991_00:43,0,81,-81
AA_8.0_12-Mar-1991_01:49,0,3,-3
AA_8.0_12-Mar-1991_02:10,0,1,-1
AA_8.0_12-Mar-1991_02:32,0,2,-2
AA_8.0_12-Mar-1991_02:54,0,2,-2
AA_8.0_12-Mar-1991_03:16,0,4,-4
AA_8.0_12-Mar-1991_03:38,0,0,0
AA_8.0_12-Mar-1991_04:00,0,0,0
AA_8.0_12-Mar-1991_04:22,0,0,0
AA_8.0_12-Mar-1991_04:44,0,0,0
AA_8.0_12-Mar-1991_05:05,0,1,-1
AA_8.0_12-Mar-1991_05:38,0,1,-1
AA_8.0_12-Mar-1991_06:02,0,0,0
AA_8.0_12-Mar-1991_06:24,0,1,-1
AA_8.0_12-Mar-1991_06:47,0,0,0
