kingdom,subkingdom,infrakingdom,phylum,subphylum,class,subclass,order,suborder,family,genus,species,ID,LifeStage,Qualifier
Animalia,,,Cnidaria,Medusozoa,Hydrozoa,Hydroidolina,Siphonophorae,Calycophorae,Abylidae,,,Abylidae indet,,indet
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Acartiidae,Acartia,Acartia (Acartia) danae,Acartia (Acartia) danae,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Acartiidae,Acartia,Acartia tranteri,Acartia (Acartiura) tranteri,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Acartiidae,Acartia,Acartia pacifica,Acartia (Odontacartia) pacifica,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Acartiidae,Acartia,,Acartia sp.,,sp
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Aetideidae,Aetideus,Aetideus australis,Aetideus australis,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Aetideidae,Aetideus,,Aetideus sp.,,sp
Animalia,,,Annelida,,Polychaeta,Errantia,Phyllodocida,Phyllodociformia,Alciopidae,,,Alciopidae indet,,indet
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,,,,,Amphipoda indet,,indet
Animalia,,,Chordata,Tunicata,Appendicularia,,,,,Appendicularia,,Appendicularia indet,,indet
Animalia,,,Mollusca,,Bivalvia,,,,,,,Bivalvia larvae,larvae,
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Brachyscelidae,Brachyscelus,Brachyscelus crusculum,Brachyscelus crusculum,,
Animalia,,,Arthropoda,Crustacea,Branchiopoda,,,,,,,Branchiopoda indet,,indet
Animalia,,,Bryozoa,,,,,,,,,Bryozoa larvae,larvae,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,,,,Calanoida indet (small),small,indet
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Calanidae,Calanoides,Calanoides acutus,Calanoides acutus,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Calanidae,Calanoides,Calanoides brevicornis,Calanoides brevicornis,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Calanidae,Calanoides,,Calanoides sp.,,sp
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Calanidae,Calanus,Calanus australis,Calanus australis,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Calanidae,Calanus,Calanus propinquus,Calanus propinquus,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Calanidae,Calanus,Calanus simillimus,Calanus simillimus,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Calanidae,Calanus,,Calanus sp.,,sp
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Paracalanidae,Calocalanus,Calocalanus plumulosus,Calocalanus plumulosus,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Paracalanidae,Calocalanus,,Calocalanus sp.,,sp
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Paracalanidae,Calocalanus,Calocalanus styliremis,Calocalanus styliremis,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Candaciidae,Candacia,Candacia bipinnata,Candacia bipinnata,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Candaciidae,Candacia,Candacia cheirura,Candacia cheirura,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Candaciidae,Candacia,Candacia falcifera,Candacia falcifera,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Candaciidae,Candacia,Candacia maxima,Candacia maxima,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Candaciidae,Candacia,,Candacia sp.,,sp
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Centropagidae,Centropages,Centropages aucklandicus,Centropages aucklandicus,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Centropagidae,Centropages,Centropages bradyi,Centropages bradyi,,
